period,start_station_id,no_trips
201907,411,3105
201911,385,3105
201912,432,3104
201906,456,3102
202001,525,3101
202005,2012,3099
201907,3374,3099
201910,434,3096
202005,479,3095
202002,167,3093
202005,495,3093
201908,3360,3093
202003,350,3089
202005,523,3089
202005,459,3087
201908,3156,3086
201911,483,3083
201910,3132,3081
202002,476,3081
202001,301,3081
201909,3143,3080
202004,3256,3080
201912,368,3080
201911,469,3080
202001,450,3077
202001,526,3076
201912,3687,3075
202005,461,3075
201906,3175,3074
202002,128,3073
202001,236,3072
201912,496,3071
201907,3112,3069
201906,3132,3069
201911,2012,3068
201910,3409,3068
201909,3725,3067
201911,347,3066
201907,335,3064
202002,483,3064
201906,335,3063
201909,332,3060
201912,116,3058
202002,503,3057
201912,486,3057
201911,251,3057
201911,325,3055
201909,3372,3055
201907,423,3052
201910,238,3052
202001,223,3051
202003,528,3045
202002,478,3045
201911,546,3044
201911,470,3043
201911,268,3039
202001,312,3037
201906,349,3037
201910,3236,3037
202003,2003,3036
202003,478,3035
202003,442,3033
201909,316,3033
201912,494,3033
202005,448,3031
202002,479,3030
202002,236,3028
201908,228,3028
201906,164,3028
201906,3374,3027
201909,3715,3027
202005,412,3024
201909,3440,3024
201912,447,3022
201912,297,3021
201906,411,3021
201910,460,3021
201906,3697,3019
201908,351,3019
201907,3423,3018
201912,528,3018
202001,405,3018
201912,518,3017
201909,3521,3017
202005,545,3017
201911,335,3014
201912,517,3014
201909,456,3014
201907,3301,3012
202003,3164,3012
202002,334,3011
